rec_id,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email
R991230,margaret,jean,young,f,26,3/9/1994,31  Scott  Avenue,Moe,3825,VIC,03  0119  9292,margaret.young@yahoo.com
R195574,anclrea,jayell,hopkinz,f,37,28/5/1g83,1  F1orina  Road,Katherone,085o,NT,08  4788  3o98,
R517358,phillip,s,battle,m,40,20/1/1980,30  Locharn  Crescent,Keysborough,3173,VIC,03  7168  5093,phillip.battle@aol.com
R774602,al1>ert,ronni,jordari,m,64,6/t/1956,27  Dalastori  Street,Modburyy,50g2,SA,08  4687  6662,jordan.albe5t@gmail.com
R780782,alto,winfiels,har,m,27,7/i/1993,Bentqley  Road,Smitbfield,5118,SA,08  8p43  5882,
R111877,grego4y,edard,brand'ls,m,27,29/1/l993,915 P ittwater  Road,Colaroy,2o97,NSW,02  888l  4349,dckmjpmyts@aol.com
R186724,everett,w,smith,m,29,10/8/1991,6  Forfar  Glen,Kinross,6028,WA,08  5480  7025,fjmmdgcgai@mail.com.au
R664855,frankie,andrew,donnell,m,21,31/3/1999,5  Adair  Street,Ballarat,3350,VIC,03  5535  9157,frankie80@hotmail.com
R540382,brisn,janes,mkoy,m,38,24/s/1982,11  King  Strit,Cl8fton,436l,QLD,07  2s18  5361,
R667462,glenn,generolashay,egerton,m,36,26/3/1984,Coomera  Gorge  Drive,Mount  Tamborine,4272,QLD,07  7715  6086,glenn.egerton@yahoo.com
R149367,tony,e,nowlan,m,36,20/4/1984,315  Bridge  Street,Newtown,4350,QLD,07  2544  0357,tony.nowlan@gmail.com
R708255,victotia,leigha,jimon,f,34,23/6/1g86,119  Carltom  Beach  Road,Dotges  Ferry,7l73,TAS,,
R544209,sheree,lynn,smith,f,30,30/7/1990,137  Tilley  Road,Gumdale,4154,QLD,07  6351  5812,gbbakabrct@aol.com
R961522,shirley,palmer,baumann,f,39,3/6/1981,6  Ronan  Court,Katherine,0850,NT,08  5020  7086,shirley.baumann@yahoo.com
R248400,rylan,dariiel,mklean,m,45,3/8/197t,56  Wrigbt  Street,Carinsale,415z,QLD,07  3184  s621,mclean.ryan@nail.com.au
R599579,e1ijah,edwrd,mccaahtney,m,41,3/q/1979,43  Kurajong  Drive,Alice  Sprimgs,0875,NT,08  6103  6661,mccartney.elijaj@mail.com
R148760,gregory,henry,nobis,m,22,7/8/1998,10  Arenga  Court,Durack,0830,NT,08  9399  0853,gregory.nobis@gmail.com
R313844,katryn,x,chspmon,f,28,13/8/1q92,175  Elizabrth  Street,Uran9an,465s,QLD,07  q697  9145,
R344844,ricgard,kencrick,tod,m,28,20/3/1g92,48  Carrothool  Plac,Mooloolaab,45s7,QLD,07  451l  6284,richard.todd@mwil.com.au
R169695,allie,mary,christine,f,28,18/10/1992,107  Spray  Street,Rosebud,3939,VIC,03  2124  5451,gigobsajcn@yahoo.com
R601824,llozd,willeiam,li,m,34,25/12/1086,Curtin  Stteet,Moranbaoh,4740,QLD,07  8829  0019,lee.lloyd@yaboo.com
R889561,charlez,nathony,jexton,m,22,12/q/1998,11  Christopber  Court,Oceam  Grove,3z26,VIC,03  489q  2033,ceqtgetlgt@a9l.com
R815358,jean,sutker,houston,f,50,18/11/1970,55  Kensington  Street,Punchbowl,2196,NSW,02  7231  6014,jean.houston@hotmail.com
